Sr. No.,Channel Name,HD/SD,Genre,EPG No.,FTA/Pay,MRP,MRP + Tax
465,Udaya TV HD,HD,Kannada Regional,1603,Pay,19,22.42
466,Udaya TV,SD,Kannada Regional,1604,Pay,17,20.06
467,Colors Kannada HD,HD,Kannada Regional,1605,Pay,19,22.42
468,Colors Kannada,SD,Kannada Regional,1606,Pay,19,22.42
469,Star Suvarna HD,HD,Kannada Regional,1609,Pay,19,22.42
470,Star Suvarna,SD,Kannada Regional,1610,Pay,19,22.42
471,Zee Kannada HD,HD,Kannada Regional,1611,Pay,19,22.42
472,Zee Kannada,SD,Kannada Regional,1612,Pay,19,22.42
473,Colors Super,SD,Kannada Regional,1615,Pay,3,3.54
474,Kannada Naaptol,SD,Kannada Regional,1617,FTA,FTA,FTA
475,Sirikannada All Time,SD,Kannada Regional,1618,FTA,FTA,FTA
476,Udaya Movies,SD,Kannada Regional,1626,Pay,16,18.88
477,Udaya Comedy,SD,Kannada Regional,1628,Pay,6,7.08
478,Star Suvarna Plus,SD,Kannada Regional,1630,Pay,5,5.9
479,Colors Kannada Cinema,SD,Kannada Regional,1632,Pay,2,2.36
480,Zee Picchar,SD,Kannada Regional,1634,Pay,3,3.54
481,Public Movies,SD,Kannada Regional,1639,FTA,FTA,FTA
482,Star Sports 1 Kannada,SD,Kannada Regional,1645,Pay,19,22.42
483,Kasthuri,SD,Kannada Regional,1650,FTA,FTA,FTA
484,TV9 Kannada,SD,Kannada Regional,1653,FTA,FTA,FTA
485,Asianet Suvarna News,SD,Kannada Regional,1654,FTA,FTA,FTA
486,Public TV,SD,Kannada Regional,1655,FTA,FTA,FTA
487,News18 Kannada,SD,Kannada Regional,1656,Pay,0.1,0.12
488,TV5 Kannada,SD,Kannada Regional,1657,FTA,FTA,FTA
489,Raj News Kannada,SD,Kannada Regional,1658,FTA,FTA,FTA
490,Dighvijay 24x7 News,SD,Kannada Regional,1659,FTA,FTA,FTA
491,Power TV,SD,Kannada Regional,1660,FTA,FTA,FTA
492,News 1st,SD,Kannada Regional,1661,FTA,FTA,FTA
493,DD Chandana,SD,Kannada Regional,1672,FTA,FTA,FTA
494,Udaya Music,SD,Kannada Regional,1673,Pay,6,7.08
495,Raj Musix Kannada,SD,Kannada Regional,1674,FTA,FTA,FTA
496,Public Music,SD,Kannada Regional,1677,FTA,FTA,FTA
497,Sri Sankara TV,SD,Kannada Regional,1685,FTA,FTA,FTA
498,Ayush TV,SD,Kannada Regional,1686,FTA,FTA,FTA
499,Colors Gujarati,SD,Gujarati Regional,1702,Pay,5,5.9
500,Colors Gujarati Cinema,SD,Gujarati Regional,1711,Pay,1,1.18
501,TV9 Gujarati,SD,Gujarati Regional,1720,FTA,FTA,FTA
502,Gujarat Samachar TV,SD,Gujarati Regional,1721,FTA,FTA,FTA
503,Sandesh News,SD,Gujarati Regional,1722,FTA,FTA,FTA
504,CNBC Bajaar,SD,Gujarati Regional,1724,Pay,1,1.18
505,News18 Gujarati,SD,Gujarati Regional,1726,Pay,0.1,0.12
506,ABP Asmita,SD,Gujarati Regional,1728,FTA,FTA,FTA
507,VTV Gujarati,SD,Gujarati Regional,1729,FTA,FTA,FTA
508,Zee 24 Kalak,SD,Gujarati Regional,1731,Pay,0.1,0.12
509,India News Gujarat,SD,Gujarati Regional,1732,FTA,FTA,FTA
510,Mantavya News,SD,Gujarati Regional,1734,FTA,FTA,FTA
511,DD Girnar,SD,Gujarati Regional,1739,FTA,FTA,FTA
512,Colors Oriya,SD,Odia Regional,1752,Pay,6,7.08
513,Tarang TV,SD,Odia Regional,1754,Pay,10,11.8
514,Zee Sarthak,SD,Odia Regional,1756,Pay,19,22.42
515,Manjari,SD,Odia Regional,1760,FTA,FTA,FTA
516,Alankar,SD,Odia Regional,1763,Pay,4,4.72
517,OTV,SD,Odia Regional,1771,FTA,FTA,FTA
518,Zee Odisha,SD,Odia Regional,1773,Pay,0.1,0.12
519,Kanak News,SD,Odia Regional,1774,FTA,FTA,FTA
520,News18 Odia,SD,Odia Regional,1776,Pay,0.1,0.12
521,Kalinga TV,SD,Odia Regional,1777,FTA,FTA,FTA
522,Prameya News 7,SD,Odia Regional,1778,FTA,FTA,FTA
523,Nandighosha TV,SD,Odia Regional,1779,FTA,FTA,FTA
524,Argus News,SD,Odia Regional,1780,FTA,FTA,FTA
525,DD Odia,SD,Odia Regional,1785,FTA,FTA,FTA
526,Tarang Music,SD,Odia Regional,1786,Pay,2,2.36
527,Prarthana TV,SD,Odia Regional,1795,Pay,2,2.36
528,Surya TV HD,HD,Malayalam Regional,1802,Pay,19,22.42
529,Surya TV,SD,Malayalam Regional,1803,Pay,12,14.16
530,Asianet HD,HD,Malayalam Regional,1806,Pay,19,22.42
531,Asianet,SD,Malayalam Regional,1807,Pay,19,22.42
532,Asianet Plus,SD,Malayalam Regional,1809,Pay,5,5.9
533,Zee Keralam HD,HD,Malayalam Regional,1811,Pay,8,9.44
534,Zee Keralam,SD,Malayalam Regional,1812,Pay,0.1,0.12
535,Flowers,SD,Malayalam Regional,1814,Pay,10,11.8
536,Amrita TV,SD,Malayalam Regional,1817,FTA,FTA,FTA
537,Mazhavil Manorama HD,HD,Malayalam Regional,1818,FTA,FTA,FTA
538,Mazhavil Manorama,SD,Malayalam Regional,1819,FTA,FTA,FTA
539,Kairali TV,SD,Malayalam Regional,1820,FTA,FTA,FTA
540,We TV,SD,Malayalam Regional,1822,FTA,FTA,FTA
541,Naaptol Malayalam,SD,Malayalam Regional,1823,FTA,FTA,FTA
542,Surya Movies,SD,Malayalam Regional,1826,Pay,11,12.98
543,Asianet Movies,SD,Malayalam Regional,1828,Pay,15,17.7
544,Surya Comedy,SD,Malayalam Regional,1830,Pay,4,4.72
545,Safari TV,SD,Malayalam Regional,1838,FTA,FTA,FTA
546,Asianet News,SD,Malayalam Regional,1841,FTA,FTA,FTA
547,Kairali News,SD,Malayalam Regional,1842,FTA,FTA,FTA
548,Manorama News,SD,Malayalam Regional,1843,FTA,FTA,FTA
549,Mathrubhumi News,SD,Malayalam Regional,1844,FTA,FTA,FTA
550,News18 Kerala,SD,Malayalam Regional,1846,Pay,0.1,0.12
551,Jai Hind TV,SD,Malayalam Regional,1847,FTA,FTA,FTA
552,Jeevan TV,SD,Malayalam Regional,1848,FTA,FTA,FTA
553,Media One TV,SD,Malayalam Regional,1849,FTA,FTA,FTA
554,Janam TV,SD,Malayalam Regional,1850,FTA,FTA,FTA
555,Kaumudy,SD,Malayalam Regional,1851,FTA,FTA,FTA
556,Raj News Malayalam,SD,Malayalam Regional,1853,FTA,FTA,FTA
557,Twenty four,SD,Malayalam Regional,1854,FTA,FTA,FTA
558,KITE Victers,SD,Malayalam Regional,1873,FTA,FTA,FTA
559,DD Malayalam,SD,Malayalam Regional,1874,FTA,FTA,FTA
560,Surya Music,SD,Malayalam Regional,1875,Pay,4,4.72
561,Raj Musix Malayalam,SD,Malayalam Regional,1877,FTA,FTA,FTA
562,Kappa TV,SD,Malayalam Regional,1878,FTA,FTA,FTA
563,Goodness,SD,Malayalam Regional,1885,FTA,FTA,FTA
564,God TV,SD,Malayalam Regional,1886,FTA,FTA,FTA
565,SHALOM TV,SD,Malayalam Regional,1887,FTA,FTA,FTA
566,Harvest TV 24x7,SD,Malayalam Regional,1888,FTA,FTA,FTA
567,Zee Punjabi,SD,Punjabi Regional,1903,Pay,3,3.54
568,PTC Punjabi,SD,Punjabi Regional,1906,FTA,FTA,FTA
569,MH One,SD,Punjabi Regional,1907,FTA,FTA,FTA
570,Pitaara TV,SD,Punjabi Regional,1911,FTA,FTA,FTA
571,PTC Punjabi Gold,SD,Punjabi Regional,1912,FTA,FTA,FTA
572,Zee Punjab Haryana Himachal Pradesh,SD,Punjabi Regional,1920,Pay,0.1,0.12
573,PTC News,SD,Punjabi Regional,1921,FTA,FTA,FTA
574,News18 Punjab Haryana Himachal,SD,Punjabi Regional,1922,Pay,0.1,0.12
575,India News Punjab,SD,Punjabi Regional,1923,FTA,FTA,FTA
576,India News Haryana,SD,Punjabi Regional,1924,FTA,FTA,FTA
577,Janta TV,SD,Punjabi Regional,1925,FTA,FTA,FTA
578,MH One News,SD,Punjabi Regional,1926,FTA,FTA,FTA
579,ANB News,SD,Punjabi Regional,1927,FTA,FTA,FTA
580,Living India News,SD,Punjabi Regional,1928,FTA,FTA,FTA
581,DD Punjabi,SD,Punjabi Regional,1935,FTA,FTA,FTA
582,PTC Chak De,SD,Punjabi Regional,1938,FTA,FTA,FTA
583,Tashan,SD,Punjabi Regional,1939,FTA,FTA,FTA
584,Balle Balle,SD,Punjabi Regional,1940,FTA,FTA,FTA
585,PTC Music,SD,Punjabi Regional,1941,FTA,FTA,FTA
586,Punjabi hits,SD,Punjabi Regional,1942,FTA,FTA,FTA
587,Chardikla Time TV,SD,Punjabi Regional,1945,FTA,FTA,FTA
588,PTC Simran,SD,Punjabi Regional,1946,FTA,FTA,FTA
589,Nepal 1,SD,Others,1951,FTA,FTA,FTA
590,Rang,SD,Others,1952,FTA,FTA,FTA
591,Rengoni TV,SD,Others,1953,FTA,FTA,FTA
592,Indradhanu,SD,Others,1961,FTA,FTA,FTA
593,DY 365,SD,Others,1970,FTA,FTA,FTA
594,News18 Assam North East,SD,Others,1971,Pay,0.1,0.12
595,News Live,SD,Others,1973,FTA,FTA,FTA
596,Protidin Time,SD,Others,1974,FTA,FTA,FTA
597,Prag News,SD,Others,1975,FTA,FTA,FTA
598,North East Live,SD,Others,1976,FTA,FTA,FTA
599,NKTV 24x7,SD,Others,1977,FTA,FTA,FTA
600,Hornbill TV,SD,Others,1978,FTA,FTA,FTA
601,DD Port Blair,SD,Others,1985,FTA,FTA,FTA
602,DD Arunprabha,SD,Others,1986,FTA,FTA,FTA
603,DD Manipur,SD,Others,1987,FTA,FTA,FTA
604,DD North East,SD,Others,1988,FTA,FTA,FTA
605,DD Kashir,SD,Others,1989,FTA,FTA,FTA
606,Ramdhenu,SD,Others,1990,FTA,FTA,FTA
